unicode,name,image_path
U+1F600,grinning face,data\emoji_images\U+1F600.png
U+1F603,grinning face with big eyes,data\emoji_images\U+1F603.png
U+1F604,grinning face with smiling eyes,data\emoji_images\U+1F604.png
U+1F601,beaming face with smiling eyes,data\emoji_images\U+1F601.png
U+1F606,grinning squinting face,data\emoji_images\U+1F606.png
U+1F605,grinning face with sweat,data\emoji_images\U+1F605.png
U+1F923,rolling on the floor laughing,data\emoji_images\U+1F923.png
U+1F602,face with tears of joy,data\emoji_images\U+1F602.png
U+1F642,slightly smiling face,data\emoji_images\U+1F642.png
U+1F643,upside-down face,data\emoji_images\U+1F643.png
U+1F609,winking face,data\emoji_images\U+1F609.png
U+1F60A,smiling face with smiling eyes,data\emoji_images\U+1F60A.png
U+1F607,smiling face with halo,data\emoji_images\U+1F607.png
U+1F970,smiling face with hearts,data\emoji_images\U+1F970.png
U+1F60D,smiling face with heart-eyes,data\emoji_images\U+1F60D.png
U+1F929,star-struck,data\emoji_images\U+1F929.png
U+1F618,face blowing a kiss,data\emoji_images\U+1F618.png
U+1F617,kissing face,data\emoji_images\U+1F617.png
U+263A,smiling face,data\emoji_images\U+263A.png
U+1F61A,kissing face with closed eyes,data\emoji_images\U+1F61A.png
U+1F619,kissing face with smiling eyes,data\emoji_images\U+1F619.png
U+1F972,smiling face with tear,data\emoji_images\U+1F972.png
U+1F60B,face savoring food,data\emoji_images\U+1F60B.png
U+1F61B,face with tongue,data\emoji_images\U+1F61B.png
U+1F61C,winking face with tongue,data\emoji_images\U+1F61C.png
U+1F92A,zany face,data\emoji_images\U+1F92A.png
U+1F61D,squinting face with tongue,data\emoji_images\U+1F61D.png
U+1F911,money-mouth face,data\emoji_images\U+1F911.png
U+1F917,hugging face,data\emoji_images\U+1F917.png
U+1F92D,face with hand over mouth,data\emoji_images\U+1F92D.png
U+1F92B,shushing face,data\emoji_images\U+1F92B.png
U+1F914,thinking face,data\emoji_images\U+1F914.png
U+1F910,zipper-mouth face,data\emoji_images\U+1F910.png
U+1F928,face with raised eyebrow,data\emoji_images\U+1F928.png
U+1F610,neutral face,data\emoji_images\U+1F610.png
U+1F611,expressionless face,data\emoji_images\U+1F611.png
U+1F636,face without mouth,data\emoji_images\U+1F636.png
U+1F636 U+200D U+1F32B U+FE0F,⊛ face in clouds,data\emoji_images\U+1F636 U+200D U+1F32B U+FE0F.png
U+1F60F,smirking face,data\emoji_images\U+1F60F.png
U+1F612,unamused face,data\emoji_images\U+1F612.png
U+1F644,face with rolling eyes,data\emoji_images\U+1F644.png
U+1F62C,grimacing face,data\emoji_images\U+1F62C.png
